Account,head,detail,status,created_date_time,comp_date_time,todo_daily,task_date
Np6,Connect with someone,Send a thoughtful message to a friend or colleague.,pending,2026-08-26T13:00:00,,True,2026-08-26
Np6,Prepare tomorrow,List the next day's most important tasks.,pending,2026-08-27T14:00:00,,True,2026-08-27
Qr7,Review daily goals,Check priorities and update the day plan.,completed,2026-08-21T08:00:00,2026-08-21T17:30:00,True,2026-08-21
Qr7,Focus work session,Work without distractions for twenty-five minutes.,pending,2026-08-22T09:00:00,,True,2026-08-22
Qr7,Learn a new skill,Spend time practising a useful topic.,pending,2026-08-23T10:00:00,,True,2026-08-23
Qr7,Health check-in,Complete a short activity and drink water.,pending,2026-08-24T11:00:00,,True,2026-08-24
Qr7,Organize notes,File recent notes where they are easy to find.,completed,2026-08-25T12:00:00,2026-08-25T17:30:00,True,2026-08-25
Qr7,Connect with someone,Send a thoughtful message to a friend or colleague.,completed,2026-08-26T13:00:00,2026-08-26T18:30:00,True,2026-08-26
Qr7,Prepare tomorrow,List the next day's most important tasks.,completed,2026-08-27T14:00:00,2026-08-27T17:30:00,True,2026-08-27
St8,Review daily goals,Check priorities and update the day plan.,completed,2026-08-19T08:00:00,2026-08-19T17:30:00,True,2026-08-19
St8,Focus work session,Work without distractions for twenty-five minutes.,completed,2026-08-22T09:00:00,2026-08-22T18:30:00,True,2026-08-22
St8,Learn a new skill,Spend time practising a useful topic.,completed,2026-08-23T10:00:00,2026-08-23T17:30:00,True,2026-08-23
St8,Health check-in,Complete a short activity and drink water.,pending,2026-08-24T11:00:00,,True,2026-08-24
St8,Organize notes,File recent notes where they are easy to find.,pending,2026-08-25T12:00:00,,True,2026-08-25
St8,Connect with someone,Send a thoughtful message to a friend or colleague.,pending,2026-08-26T13:00:00,,True,2026-08-26
St8,Prepare tomorrow,List the next day's most important tasks.,pending,2026-08-27T14:00:00,,True,2026-08-27
Vw9,Review daily goals,Check priorities and update the day plan.,completed,2026-08-22T08:00:00,2026-08-22T17:30:00,True,2026-08-22
Vw9,Focus work session,Work without distractions for twenty-five minutes.,pending,2026-08-23T09:00:00,,True,2026-08-23
Vw9,Learn a new skill,Spend time practising a useful topic.,pending,2026-08-24T10:00:00,,True,2026-08-24
Vw9,Health check-in,Complete a short activity and drink water.,pending,2026-08-25T11:00:00,,True,2026-08-25
Vw9,Organize notes,File recent notes where they are easy to find.,completed,2026-08-26T12:00:00,2026-08-26T17:30:00,True,2026-08-26
Vw9,Connect with someone,Send a thoughtful message to a friend or colleague.,completed,2026-08-27T13:00:00,2026-08-27T18:30:00,True,2026-08-27
Vw9,Prepare tomorrow,List the next day's most important tasks.,pending,2026-08-28T14:00:00,,True,2026-08-28
Xy0,Review daily goals,Check priorities and update the day plan.,pending,2026-08-21T08:00:00,,True,2026-08-21
Xy0,Focus work session,Work without distractions for twenty-five minutes.,pending,2026-08-22T09:00:00,,True,2026-08-22
Xy0,Learn a new skill,Spend time practising a useful topic.,pending,2026-08-23T10:00:00,,True,2026-08-23
Xy0,Health check-in,Complete a short activity and drink water.,pending,2026-08-24T11:00:00,,True,2026-08-24
Xy0,Organize notes,File recent notes where they are easy to find.,pending,2026-08-25T12:00:00,,True,2026-08-25
Xy0,Connect with someone,Send a thoughtful message to a friend or colleague.,pending,2026-08-26T13:00:00,,True,2026-08-26
Xy0,Prepare tomorrow,List the next day's most important tasks.,pending,2026-08-27T14:00:00,,True,2026-08-27
